"IBOV","USIM5","CSNA3","SBSP3"
6.5760994705,3.111514876,9.0334572491,13.439090093
1.7917584872,-5.4015534985,-3.6822366177,0.65963060679
-4.1996236187,-11.917098445,-7.575221239,-0.41939711664
2.3617162691,3.5006520491,2.1447721181,17.391737739
-3.9391665705,1.4091858036,3.8620172478,-4.2028645222
1.2151891129,-2.2130725682,-3.7906137184,-0.073529411748
1.7853167712,4.7143860194,0.11257035639,15.280843757
-3.5779896772,-18.227848101,-8.3208395802,-3.0425531915
-2.2863364181,-6.1919504644,-4.9444826612,5.9688391484
-3.4308263695,-9.5709570956,-12.931034482,-3.7481880307
-5.7369036745,-18.613138686,-15.685252735,-0.38726333896
-3.9576356187,7.6233183858,-2.348578492,-0.64794816408
-7.3829542437,-12.333333333,-6.5822784811,-4.9999999999
11.493769589,12.16730038,7.7913279134,7.780320366
-2.5095135246,-12.20338983,-7.2910119422,6.1358811041
-0.21099272071,-2.0270270271,1.5593220338,4.0808161633
11.132254995,15.467980295,21.829105474,12.127618681
4.3426560122,-0.59726962463,-4.0547945206,15.708243904
-1.9768731671,3.7453121606,-1.6561964591,7.4171164228
-4.1698961401,-9.0757701914,-0.21248198109,7.4361182888
